epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,292.419,1.47686,1.25926,0.0213,0.63248,0.53034,0.58089,0.30727,1.6113,1.54974,0.02948,0.0297386,0.00991288,0.0297386,0.00991288,0.0297386,0.00991288,0.0297386,0.00991288
46,298.538,1.46948,1.27267,0.02121,0.60569,0.56534,0.60474,0.31606,1.66197,1.49737,0.03013,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
47,304.971,1.47992,1.26419,0.02135,0.51777,0.53511,0.54452,0.2939,1.66536,1.48501,0.0314,0.0297268,0.00990892,0.0297268,0.00990892,0.0297268,0.00990892,0.0297268,0.00990892
48,311.367,1.4833,1.27363,0.0216,0.54708,0.48427,0.51374,0.28489,1.75287,1.64293,0.03191,0.0297208,0.00990694,0.0297208,0.00990694,0.0297208,0.00990694,0.0297208,0.00990694
49,317.541,1.45587,1.26883,0.02094,0.62893,0.60551,0.63369,0.3258,1.63892,1.32763,0.03052,0.0297149,0.00990496,0.0297149,0.00990496,0.0297149,0.00990496,0.0297149,0.00990496
50,324.158,1.48058,1.25109,0.02113,0.53235,0.56283,0.55971,0.27933,1.87836,1.6377,0.03364,0.0297089,0.00990298,0.0297089,0.00990298,0.0297089,0.00990298,0.0297089,0.00990298
51,330.454,1.46728,1.25715,0.02106,0.5717,0.53728,0.55823,0.28972,1.69454,1.69773,0.03186,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
52,336.945,1.45832,1.21175,0.02091,0.523,0.55952,0.56912,0.30337,1.61207,1.6553,0.03027,0.0296971,0.00989902,0.0296971,0.00989902,0.0296971,0.00989902,0.0296971,0.00989902
53,343.227,1.43669,1.22223,0.02097,0.64324,0.64926,0.67232,0.3561,1.59202,1.26552,0.02835,0.0296911,0.00989704,0.0296911,0.00989704,0.0296911,0.00989704,0.0296911,0.00989704
54,349.512,1.45752,1.23487,0.02054,0.59615,0.53469,0.5678,0.29991,1.75116,1.51734,0.03195,0.0296852,0.00989506,0.0296852,0.00989506,0.0296852,0.00989506,0.0296852,0.00989506
55,355.831,1.45582,1.21346,0.02084,0.6083,0.59232,0.63388,0.35816,1.54223,1.28939,0.02845,0.0296792,0.00989308,0.0296792,0.00989308,0.0296792,0.00989308,0.0296792,0.00989308
56,362.547,1.44281,1.24574,0.02081,0.6492,0.61917,0.65824,0.36612,1.58069,1.23971,0.02943,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
57,368.294,1.44376,1.24303,0.02048,0.65456,0.61721,0.66116,0.35701,1.61736,1.24841,0.0297,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
58,375.244,1.4297,1.22871,0.02027,0.61466,0.65275,0.67151,0.3684,1.62759,1.27126,0.02889,0.0296614,0.00988714,0.0296614,0.00988714,0.0296614,0.00988714,0.0296614,0.00988714
59,382.468,1.45025,1.20596,0.02033,0.54466,0.58054,0.55756,0.28048,1.77006,1.51503,0.03219,0.0296555,0.00988516,0.0296555,0.00988516,0.0296555,0.00988516,0.0296555,0.00988516
60,389.882,1.42266,1.20513,0.0202,0.61408,0.655,0.67693,0.38934,1.5146,1.22641,0.02744,0.0296495,0.00988318,0.0296495,0.00988318,0.0296495,0.00988318,0.0296495,0.00988318
61,396.735,1.43586,1.16265,0.0207,0.54169,0.57102,0.56093,0.30509,1.67104,1.63143,0.03143,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
62,403.522,1.42092,1.18131,0.02066,0.58327,0.61675,0.62226,0.34848,1.64642,1.29088,0.02994,0.0296377,0.00987922,0.0296377,0.00987922,0.0296377,0.00987922,0.0296377,0.00987922
63,410.431,1.41004,1.16346,0.02006,0.58312,0.57901,0.60661,0.35141,1.57367,1.43635,0.02937,0.0296317,0.00987724,0.0296317,0.00987724,0.0296317,0.00987724,0.0296317,0.00987724
64,417.678,1.41706,1.17956,0.02036,0.6133,0.59705,0.63688,0.34375,1.66425,1.39281,0.02939,0.0296258,0.00987526,0.0296258,0.00987526,0.0296258,0.00987526,0.0296258,0.00987526
65,424.355,1.42818,1.20066,0.02023,0.57237,0.59952,0.60132,0.32629,1.67425,1.30447,0.03053,0.0296198,0.00987328,0.0296198,0.00987328,0.0296198,0.00987328,0.0296198,0.00987328
66,431.325,1.40798,1.16315,0.02007,0.56554,0.54874,0.58203,0.31085,1.73255,1.51509,0.03131,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
67,437.599,1.42077,1.14628,0.02003,0.63779,0.66049,0.67436,0.36257,1.56106,1.20428,0.02842,0.029608,0.00986932,0.029608,0.00986932,0.029608,0.00986932,0.029608,0.00986932
68,444.163,1.40523,1.18021,0.01973,0.68191,0.5844,0.65955,0.37102,1.5631,1.26177,0.02824,0.029602,0.00986734,0.029602,0.00986734,0.029602,0.00986734,0.029602,0.00986734
69,450.516,1.4252,1.18487,0.02022,0.59419,0.67652,0.67898,0.39236,1.4839,1.18116,0.02685,0.0295961,0.00986536,0.0295961,0.00986536,0.0295961,0.00986536,0.0295961,0.00986536
70,457.347,1.4244,1.15547,0.02023,0.64641,0.66011,0.69439,0.39763,1.51884,1.18929,0.02797,0.0295901,0.00986338,0.0295901,0.00986338,0.0295901,0.00986338,0.0295901,0.00986338
71,463.978,1.40182,1.14426,0.02003,0.53037,0.34039,0.38863,0.19893,1.94204,2.34581,0.03688,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
72,470.489,1.40434,1.16174,0.01998,0.65785,0.59341,0.6376,0.34633,1.58343,1.33249,0.02979,0.0295783,0.00985942,0.0295783,0.00985942,0.0295783,0.00985942,0.0295783,0.00985942
73,476.801,1.40315,1.16911,0.02004,0.59262,0.62263,0.63683,0.35332,1.57571,1.24775,0.02905,0.0295723,0.00985744,0.0295723,0.00985744,0.0295723,0.00985744,0.0295723,0.00985744
74,483.104,1.40063,1.12673,0.01989,0.62142,0.63197,0.65963,0.36673,1.56988,1.22742,0.02837,0.0295664,0.00985546,0.0295664,0.00985546,0.0295664,0.00985546,0.0295664,0.00985546
75,489.57,1.39087,1.16229,0.02005,0.64631,0.64388,0.66791,0.35894,1.61322,1.22288,0.02963,0.0295604,0.00985348,0.0295604,0.00985348,0.0295604,0.00985348,0.0295604,0.00985348
76,496.035,1.3818,1.11242,0.01967,0.5614,0.66037,0.65284,0.34363,1.65431,1.26169,0.03042,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
77,502.551,1.39449,1.09725,0.01987,0.55586,0.67179,0.60636,0.32446,1.66253,1.48505,0.03058,0.0295486,0.00984952,0.0295486,0.00984952,0.0295486,0.00984952,0.0295486,0.00984952
78,508.992,1.40607,1.1576,0.02022,0.61329,0.67297,0.6748,0.36575,1.57539,1.18918,0.02913,0.0295426,0.00984754,0.0295426,0.00984754,0.0295426,0.00984754,0.0295426,0.00984754
79,515.359,1.39829,1.1067,0.01986,0.64836,0.57197,0.62916,0.33132,1.66503,1.26993,0.03156,0.0295367,0.00984556,0.0295367,0.00984556,0.0295367,0.00984556,0.0295367,0.00984556
80,522.031,1.39478,1.12394,0.01996,0.65943,0.63647,0.66911,0.37428,1.52776,1.16937,0.02833,0.0295307,0.00984358,0.0295307,0.00984358,0.0295307,0.00984358,0.0295307,0.00984358
81,528.299,1.37395,1.14498,0.01988,0.63887,0.58293,0.63745,0.34297,1.64971,1.26958,0.0307,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
82,534.466,1.39032,1.13196,0.01948,0.61697,0.59178,0.60288,0.32312,1.71635,1.60456,0.03101,0.0295189,0.00983962,0.0295189,0.00983962,0.0295189,0.00983962,0.0295189,0.00983962
83,540.781,1.36219,1.09414,0.01913,0.6257,0.61571,0.64775,0.34531,1.66148,1.24704,0.03044,0.0295129,0.00983764,0.0295129,0.00983764,0.0295129,0.00983764,0.0295129,0.00983764
84,547.156,1.36412,1.11392,0.01912,0.59826,0.70206,0.67154,0.37319,1.50367,1.21015,0.02747,0.029507,0.00983566,0.029507,0.00983566,0.029507,0.00983566,0.029507,0.00983566
85,553.131,1.37213,1.09659,0.01939,0.63089,0.58682,0.64265,0.34303,1.65132,1.26483,0.02967,0.029501,0.00983368,0.029501,0.00983368,0.029501,0.00983368,0.029501,0.00983368
86,558.984,1.37598,1.09362,0.01977,0.73546,0.68685,0.7504,0.42443,1.45702,1.01225,0.02684,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
87,565.424,1.36992,1.08022,0.01928,0.60041,0.64807,0.63816,0.36982,1.51425,1.2282,0.02752,0.0294892,0.00982972,0.0294892,0.00982972,0.0294892,0.00982972,0.0294892,0.00982972
88,571.871,1.35407,1.0782,0.0193,0.70349,0.62591,0.68572,0.36517,1.62359,1.23035,0.02954,0.0294832,0.00982774,0.0294832,0.00982774,0.0294832,0.00982774,0.0294832,0.00982774
89,578.54,1.35659,1.06344,0.01902,0.54004,0.68625,0.62961,0.33463,1.64308,1.23687,0.03093,0.0294773,0.00982576,0.0294773,0.00982576,0.0294773,0.00982576,0.0294773,0.00982576
90,585.172,1.35572,1.05469,0.0192,0.60443,0.64552,0.65208,0.34849,1.57622,1.21105,0.02901,0.0294713,0.00982378,0.0294713,0.00982378,0.0294713,0.00982378,0.0294713,0.00982378
91,591.387,1.35764,1.08035,0.01939,0.68374,0.6158,0.67449,0.37425,1.58176,1.18569,0.02889,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
92,597.766,1.36707,1.08233,0.01984,0.58196,0.63463,0.63424,0.34199,1.61757,1.3133,0.02943,0.0294595,0.00981982,0.0294595,0.00981982,0.0294595,0.00981982,0.0294595,0.00981982
93,604.104,1.35448,1.0602,0.01908,0.63395,0.68824,0.69431,0.3722,1.55894,1.14406,0.02937,0.0294535,0.00981784,0.0294535,0.00981784,0.0294535,0.00981784,0.0294535,0.00981784
94,610.998,1.36376,1.07153,0.01978,0.65594,0.63795,0.66186,0.3662,1.57039,1.12667,0.0291,0.0294476,0.00981586,0.0294476,0.00981586,0.0294476,0.00981586,0.0294476,0.00981586
95,617.564,1.35634,1.08381,0.019,0.66701,0.66215,0.68854,0.36925,1.59321,1.15365,0.02953,0.0294416,0.00981388,0.0294416,0.00981388,0.0294416,0.00981388,0.0294416,0.00981388
